law_id: 332AC0000000026
law_num: 昭和三十二年法律第二十六号

law_revision_id	amendment_enforcement_date	current_revision_status	amendment_law_num	amendment_law_title
332AC0000000026_20180601_430AC0000000007	2018-06-01	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
332AC0000000026_20180501_430AC0000000007	2018-05-01	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
332AC0000000026_20180401_430AC0000000007	2018-04-01	PreviousEnforced	平成三十年法律第七号	所得税法等の一部を改正する法律
332AC0000000026_20180401_429AC0000000074	2018-04-01	PreviousEnforced	平成二十九年法律第七十四号	農業災害補償法の一部を改正する法律
332AC0000000026_20180401_429AC0000000054	2018-04-01	PreviousEnforced	平成二十九年法律第五十四号	地方自治法等の一部を改正する法律
332AC0000000026_20180401_429AC0000000004	2018-04-01	PreviousEnforced	平成二十九年法律第四号	所得税法等の一部を改正する等の法律
332AC0000000026_20180401_427AC0000000041	2018-04-01	PreviousEnforced	平成二十七年法律第四十一号	
332AC0000000026_20180101_429AC0000000004	2018-01-01	PreviousEnforced	平成二十九年法律第四号	所得税法等の一部を改正する等の法律
332AC0000000026_20180101_428AC0000000015	2018-01-01	PreviousEnforced	平成二十八年法律第十五号	所得税法等の一部を改正する法律
332AC0000000026_20171201_429AC0000000004	2017-12-01	PreviousEnforced	平成二十九年法律第四号	所得税法等の一部を改正する等の法律
332AC0000000026_20171008_429AC0000000004	2017-10-08	PreviousEnforced	平成二十九年法律第四号	所得税法等の一部を改正する等の法律
332AC0000000026_20171008_428AC0000000016	2017-10-08	PreviousEnforced	平成二十八年法律第十六号	関税定率法等の一部を改正する法律
332AC0000000026_20171001_429AC0000000004	2017-10-01	PreviousEnforced	平成二十九年法律第四号	所得税法等の一部を改正する等の法律
332AC0000000026_20170801_429AC0000000004	2017-08-01	PreviousEnforced	平成二十九年法律第四号	所得税法等の一部を改正する等の法律
332AC0000000026_20170731_429AC0000000004	2017-07-31	PreviousEnforced	平成二十九年法律第四号	所得税法等の一部を改正する等の法律
332AC0000000026_20170724_429AC0000000004	2017-07-24	PreviousEnforced	平成二十九年法律第四号	所得税法等の一部を改正する等の法律
332AC0000000026_20170623_429AC0000000074	2017-06-23	PreviousEnforced	平成二十九年法律第七十四号	農業災害補償法の一部を改正する法律
332AC0000000026_20170602_429AC0000000045	2017-06-02	PreviousEnforced	平成二十九年法律第四十五号	民法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律
332AC0000000026_20170601_429AC0000000004	2017-06-01	PreviousEnforced	平成二十九年法律第四号	所得税法等の一部を改正する等の法律
332AC0000000026_20170501_429AC0000000004	2017-05-01	PreviousEnforced	平成二十九年法律第四号	所得税法等の一部を改正する等の法律
332AC0000000026_20170401_428AC1000000070	2017-04-01	PreviousEnforced	平成二十八年法律第七十号	特定非営利活動促進法の一部を改正する法律
332AC0000000026_20170401_428AC0000000015	2017-04-01	PreviousEnforced	平成二十八年法律第十五号	所得税法等の一部を改正する法律
332AC0000000026_20170401_427AC0000000050	2017-04-01	PreviousEnforced	平成二十七年法律第五十号	地域の自主性及び自立性を高めるための改革の推進を図るための関係法律の整備に関する法律
332AC0000000026_20170401_427AC0000000047	2017-04-01	PreviousEnforced	平成二十七年法律第四十七号	電気事業法等の一部を改正する等の法律
