doc_id	jurisdiction	source_url	source_basename	is_synth	file	text_file	page_count
singapore--singapore1994-jp-en	Singapore	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Singapore1994_jp_en.pdf	Singapore1994_jp_en.pdf	False	source/raw/singapore--singapore1994-jp-en.pdf	source/text/singapore--singapore1994-jp-en.txt	29
singapore--singapore1994-en-jp-en	Singapore	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Singapore1994_EN_jp_en.pdf	Singapore1994_EN_jp_en.pdf	False	source/raw/singapore--singapore1994-en-jp-en.pdf	source/text/singapore--singapore1994-en-jp-en.txt	4
singapore--synthesizedtextforjapan-singaporejp	Singapore	http://www.mof.go.jp/tax_policy/summary/international/press_release/SynthesizedTextforJapan-SingaporeJP.pdf	SynthesizedTextforJapan-SingaporeJP.pdf	True	source/raw/singapore--synthesizedtextforjapan-singaporejp.pdf	source/text/singapore--synthesizedtextforjapan-singaporejp.txt	32
singapore--singapore2010-p-jp	Singapore	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Singapore2010_P_jp.pdf	Singapore2010_P_jp.pdf	False	source/raw/singapore--singapore2010-p-jp.pdf	source/text/singapore--singapore2010-p-jp.txt	5
south-africa--southafrica1997-jp-en	South Africa	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SouthAfrica1997_jp_en.pdf	SouthAfrica1997_jp_en.pdf	False	source/raw/south-africa--southafrica1997-jp-en.pdf	source/text/south-africa--southafrica1997-jp-en.txt	29
south-africa--sourhafrica1997-en-jp-en	South Africa	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SourhAfrica1997_EN_jp_en.pdf	SourhAfrica1997_EN_jp_en.pdf	False	source/raw/south-africa--sourhafrica1997-en-jp-en.pdf	source/text/south-africa--sourhafrica1997-en-jp-en.txt	2
south-africa--synthesizedtextforjapan-southafrica-jp	South Africa	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/SynthesizedTextforJapan_SouthAfrica_JP.pdf	SynthesizedTextforJapan_SouthAfrica_JP.pdf	True	source/raw/south-africa--synthesizedtextforjapan-southafrica-jp.pdf	source/text/south-africa--synthesizedtextforjapan-southafrica-jp.txt	26
spain--20210215spa-j	Spain	https://www.mof.go.jp/tax_policy/summary/international/20210215Spa_j.pdf	20210215Spa_j.pdf	False	source/raw/spain--20210215spa-j.pdf	source/text/spain--20210215spa-j.txt	68
sweden--sweden1983-jp-en	Sweden	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Sweden1983_jp_en.pdf	Sweden1983_jp_en.pdf	False	source/raw/sweden--sweden1983-jp-en.pdf	source/text/sweden--sweden1983-jp-en.txt	35
sweden--sweden1983-en-jp-en	Sweden	https://www.mof.go.jp/tax_policy/summary/international/tax_convention/Sweden1983_EN_jp_en.pdf	Sweden1983_EN_jp_en.pdf	False	source/raw/sweden--sweden1983-en-jp-en.pdf	source/text/sweden--sweden1983-en-jp-en.txt	3
